first_team,second_team,stadium,winner
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders 
Kings XI Punjab , Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings 
Delhi Daredevils , Rajasthan Royals,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Kolkata Knight Riders , Deccan Chargers,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Mumbai Indians , Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore 
Rajasthan Royals , Kings XI Punjab,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Deccan Chargers , Delhi Daredevils,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Daredevils 
Chennai Super Kings , Mumbai Indians,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Deccan Chargers , Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals 
Kings XI Punjab , Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Chennai Super Kings , Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Royal Challengers Bangalore , Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals 
Kings XI Punjab , Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Mumbai Indians , Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers 
Royal Challengers Bangalore , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings 
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians 
Delhi Daredevils , Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Rajasthan Royals , Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Deccan Chargers , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Kings XI Punjab 
Chennai Super Kings , Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Delhi Daredevils 
Royal Challengers Bangalore , Deccan Chargers,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kings XI Punjab , Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Mumbai Indians , Delhi Daredevils,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians 
Rajasthan Royals , Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab 
Chennai Super Kings , Deccan Chargers,"MA Chidambaram Stadium, Chennai",Deccan Chargers 
Mumbai Indians , Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians 
Delhi Daredevils , Chennai Super Kings,"Feroz Shah Kotla, Delhi",Chennai Super Kings 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Rajasthan Royals , Deccan Chargers,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Chennai Super Kings , Kings XI Punjab,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Deccan Chargers , Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders 
Rajasthan Royals , Delhi Daredevils,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Kings XI Punjab , Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Kolkata Knight Riders , Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Mumbai Indians , Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai Indians 
Delhi Daredevils , Deccan Chargers,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Mumbai Indians , Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians 
Rajasthan Royals , Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Kings XI Punjab 
Kolkata Knight Riders , Chennai Super Kings,"Eden Gardens, Kolkata",Chennai Super Kings 
Deccan Chargers , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",Delhi Daredevils 
Kolkata Knight Riders , Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals 
Mumbai Indians , Kings XI Punjab,"Wankhede Stadium, Mumbai",Kings XI Punjab 
Chennai Super Kings , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Match abandoned without a ball bowled
Kings XI Punjab , Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Chennai Super Kings , Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Rajasthan Royals 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Deccan Chargers , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bangalore 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Rajasthan Royals , Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Deccan Chargers , Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",Chennai Super Kings 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Kings XI Punjab , Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Delhi Daredevils , Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals 
Chennai Super Kings , Kings XI Punjab,"Wankhede Stadium, Mumbai",Chennai Super Kings 
Chennai Super Kings , Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals 
Chennai Super Kings , Mumbai Indians,"Newlands, Cape Town",Mumbai Indians 
Royal Challengers Bangalore , Rajasthan Royals,"Newlands, Cape Town",Royal Challengers Bangalore 
Delhi Daredevils , Kings XI Punjab,"Newlands, Cape Town",Delhi Daredevils 
Deccan Chargers , Kolkata Knight Riders,"Newlands, Cape Town",Deccan Chargers 
Royal Challengers Bangalore , Chennai Super Kings,"St George's Park, Port Elizabeth",Chennai Super Kings 
Kings XI Punjab , Kolkata Knight Riders,"Kingsmead, Durban",Kolkata Knight Riders 
Mumbai Indians , Rajasthan Royals,"Kingsmead, Durban",Match abandoned without a ball bowled
Royal Challengers Bangalore , Deccan Chargers,"Newlands, Cape Town",Deccan Chargers 
Chennai Super Kings , Delhi Daredevils,"Kingsmead, Durban",Delhi Daredevils 
Kolkata Knight Riders , Rajasthan Royals,"Newlands, Cape Town",Match tied (Rajasthan Royals 
Royal Challengers Bangalore , Kings XI Punjab,"Kingsmead, Durban",Kings XI Punjab 
Deccan Chargers , Mumbai Indians,"Kingsmead, Durban",Deccan Chargers 
Chennai Super Kings , Kolkata Knight Riders,"Newlands, Cape Town",Match abandoned without a ball bowled
Royal Challengers Bangalore , Delhi Daredevils,"St George's Park, Port Elizabeth",Delhi Daredevils 
Kings XI Punjab , Rajasthan Royals,"Newlands, Cape Town",Kings XI Punjab 
Chennai Super Kings , Deccan Chargers,"Kingsmead, Durban",Deccan Chargers 
Kolkata Knight Riders , Mumbai Indians,"St George's Park, Port Elizabeth",Mumbai Indians 
Delhi Daredevils , Rajasthan Royals,"SuperSport Park, Centurion",Rajasthan Royals 
Royal Challengers Bangalore , Kolkata Knight Riders,"Kingsmead, Durban",Royal Challengers Bangalore 
Kings XI Punjab , Mumbai Indians,"Kingsmead, Durban",Kings XI Punjab 
Deccan Chargers , Delhi Daredevils,"SuperSport Park, Centurion",Delhi Daredevils 
Chennai Super Kings , Rajasthan Royals,"SuperSport Park, Centurion",Chennai Super Kings 
Kolkata Knight Riders , Mumbai Indians,"Buffalo Park, East London",Mumbai Indians 
Royal Challengers Bangalore , Kings XI Punjab,"Kingsmead, Durban",Royal Challengers Bangalore 
Deccan Chargers , Rajasthan Royals,"St George's Park, Port Elizabeth",Rajasthan Royals 
Chennai Super Kings , Delhi Daredevils,"The Wanderers Stadium, Johannesburg",Chennai Super Kings 
Kings XI Punjab , Kolkata Knight Riders,"St George's Park, Port Elizabeth",Kings XI Punjab 
Royal Challengers Bangalore , Mumbai Indians,"The Wanderers Stadium, Johannesburg",Royal Challengers Bangalore 
Chennai Super Kings , Deccan Chargers,"Buffalo Park, East London",Chennai Super Kings 
Kings XI Punjab , Rajasthan Royals,"Kingsmead, Durban",Rajasthan Royals 
Delhi Daredevils , Kolkata Knight Riders,"Kingsmead, Durban",Delhi Daredevils 
Deccan Chargers , Mumbai Indians,"SuperSport Park, Centurion",Deccan Chargers 
Royal Challengers Bangalore , Rajasthan Royals,"SuperSport Park, Centurion",Rajasthan Royals 
Chennai Super Kings , Kings XI Punjab,"SuperSport Park, Centurion",Chennai Super Kings 
Delhi Daredevils , Mumbai Indians,"Buffalo Park, East London",Delhi Daredevils 
Deccan Chargers , Kings XI Punjab,"Diamond Oval, Kimberley",Kings XI Punjab 
Chennai Super Kings , Rajasthan Royals,"Diamond Oval, Kimberley",Chennai Super Kings 
Royal Challengers Bangalore , Mumbai Indians,"St George's Park, Port Elizabeth",Mumbai Indians 
Delhi Daredevils , Kolkata Knight Riders,"The Wanderers Stadium, Johannesburg",Delhi Daredevils 
Deccan Chargers , Rajasthan Royals,"Diamond Oval, Kimberley",Deccan Chargers 
Royal Challengers Bangalore , Kolkata Knight Riders,"SuperSport Park, Centurion",Royal Challengers Bangalore 
Kings XI Punjab , Mumbai Indians,"SuperSport Park, Centurion",Mumbai Indians 
Deccan Chargers , Delhi Daredevils,"Kingsmead, Durban",Delhi Daredevils 
Royal Challengers Bangalore , Chennai Super Kings,"Kingsmead, Durban",Royal Challengers Bangalore 
Mumbai Indians , Rajasthan Royals,"Kingsmead, Durban",Rajasthan Royals 
Delhi Daredevils , Kings XI Punjab,"Mangaung Oval, Bloemfontein",Kings XI Punjab 
Chennai Super Kings , Mumbai Indians,"St George's Park, Port Elizabeth",Chennai Super Kings 
Deccan Chargers , Kolkata Knight Riders,"The Wanderers Stadium, Johannesburg",Deccan Chargers 
Deccan Chargers , Kings XI Punjab,"The Wanderers Stadium, Johannesburg",Kings XI Punjab 
Delhi Daredevils , Rajasthan Royals,"Mangaung Oval, Bloemfontein",Delhi Daredevils 
Chennai Super Kings , Kolkata Knight Riders,"SuperSport Park, Centurion",Kolkata Knight Riders 
Royal Challengers Bangalore , Delhi Daredevils,"The Wanderers Stadium, Johannesburg",Royal Challengers Bangalore 
Kolkata Knight Riders , Rajasthan Royals,"Kingsmead, Durban",Kolkata Knight Riders 
Chennai Super Kings , Kings XI Punjab,"Kingsmead, Durban",Chennai Super Kings 
Delhi Daredevils , Mumbai Indians,"SuperSport Park, Centurion",Delhi Daredevils 
Royal Challengers Bangalore , Deccan Chargers,"SuperSport Park, Centurion",Royal Challengers Bangalore 
Delhi Daredevils , Deccan Chargers,"SuperSport Park, Centurion",Deccan Chargers 
Royal Challengers Bangalore , Chennai Super Kings,"The Wanderers Stadium, Johannesburg",Royal Challengers Bangalore 
Royal Challengers Bangalore , Deccan Chargers,"The Wanderers Stadium, Johannesburg",Deccan Chargers 
Deccan Chargers , Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders 
Mumbai Indians , Rajasthan Royals,"Brabourne Stadium, Mumbai",Mumbai Indians 
Kings XI Punjab , Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Chennai Super Kings , Deccan Chargers,"MA Chidambaram Stadium, Chennai",Deccan Chargers 
Rajasthan Royals , Delhi Daredevils,"Sardar Patel Stadium, Ahmedabad",Delhi Daredevils 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kolkata Knight Riders , Chennai Super Kings,"Eden Gardens, Kolkata",Chennai Super Kings 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Mumbai Indians 
Royal Challengers Bangalore , Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Delhi Daredevils , Chennai Super Kings,"Feroz Shah Kotla, Delhi",Chennai Super Kings 
Deccan Chargers , Kings XI Punjab,"Barabati Stadium, Cuttack",Deccan Chargers 
Rajasthan Royals , Kolkata Knight Riders,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals 
Mumbai Indians , Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore 
Deccan Chargers , Delhi Daredevils,"Barabati Stadium, Cuttack",Deccan Chargers 
Chennai Super Kings , Kings XI Punjab,"MA Chidambaram Stadium, Chennai",Match tied (Kings XI Punjab 
Mumbai Indians , Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kings XI Punjab , Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",Delhi Daredevils 
Mumbai Indians , Chennai Super Kings,"Brabourne Stadium, Mumbai",Mumbai Indians 
Rajasthan Royals , Deccan Chargers,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals 
Kings XI Punjab , Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders 
Rajasthan Royals , Chennai Super Kings,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals 
Deccan Chargers , Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Mumbai Indians , Kings XI Punjab,"Brabourne Stadium, Mumbai",Mumbai Indians 
Chennai Super Kings , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Delhi Daredevils , Rajasthan Royals,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Kolkata Knight Riders , Deccan Chargers,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore 
Chennai Super Kings , Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Mumbai Indians , Deccan Chargers,"Brabourne Stadium, Mumbai",Mumbai Indians 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kings XI Punjab 
Delhi Daredevils , Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Deccan Chargers , Rajasthan Royals,"Vidarbha Cricket Association Stadium, Nagpur",Rajasthan Royals 
Chennai Super Kings , Mumbai Indians,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Rajasthan Royals , Kings XI Punjab,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Kolkata Knight Riders , Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Royal Challengers Bangalore , Deccan Chargers,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers 
Kings XI Punjab , Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Deccan Chargers , Chennai Super Kings,"Vidarbha Cricket Association Stadium, Nagpur",Deccan Chargers 
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Kings XI Punjab 
Rajasthan Royals , Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians 
Deccan Chargers , Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Nagpur",Deccan Chargers 
Mumbai Indians , Delhi Daredevils,"Brabourne Stadium, Mumbai",Mumbai Indians 
Chennai Super Kings , Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Rajasthan Royals , Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore 
Chennai Super Kings , Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Delhi Daredevils 
Kings XI Punjab , Deccan Chargers,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Deccan Chargers 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Kolkata Knight Riders , Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Chennai Super Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Chennai Super Kings 
Delhi Daredevils , Deccan Chargers,"Feroz Shah Kotla, Delhi",Deccan Chargers 
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Royal Challengers Bangalore , Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians 
Chennai Super Kings , Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings 
Royal Challengers Bangalore , Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore 
Chennai Super Kings , Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings 
Chennai Super Kings , Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Deccan Chargers , Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals 
Kochi Tuskers Kerala , Royal Challengers Bangalore,"Nehru Stadium, Kochi",Royal Challengers Bangalore 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Mumbai Indians 
Pune Warriors , Kings XI Punjab,"Dr DY Patil Sports Academy, Mumbai",Pune Warriors 
Kolkata Knight Riders , Deccan Chargers,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Rajasthan Royals , Delhi Daredevils,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Kings XI Punjab , Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Pune Warriors , Kochi Tuskers Kerala,"Dr DY Patil Sports Academy, Mumbai",Pune Warriors 
Deccan Chargers , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers 
Rajasthan Royals , Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders 
Mumbai Indians , Kochi Tuskers Kerala,"Wankhede Stadium, Mumbai",Kochi Tuskers Kerala 
Chennai Super Kings , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Deccan Chargers , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Kings XI Punjab 
Pune Warriors , Delhi Daredevils,"Dr DY Patil Sports Academy, Mumbai",Delhi Daredevils 
Kolkata Knight Riders , Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kochi Tuskers Kerala , Chennai Super Kings,"Nehru Stadium, Kochi",Kochi Tuskers Kerala 
Delhi Daredevils , Deccan Chargers,"Feroz Shah Kotla, Delhi",Deccan Chargers 
Royal Challengers Bangalore , Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Match abandoned without a ball being bowled
Mumbai Indians , Pune Warriors,"Wankhede Stadium, Mumbai",Mumbai Indians 
Kolkata Knight Riders , Kochi Tuskers Kerala,"Eden Gardens, Kolkata",Kochi Tuskers Kerala 
Kings XI Punjab , Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Royal Challengers Bangalore 
Mumbai Indians , Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai Indians 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Deccan Chargers , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians 
Rajasthan Royals , Kochi Tuskers Kerala,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Chennai Super Kings , Pune Warriors,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Delhi Daredevils , Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",Royal Challengers Bangalore 
Pune Warriors , Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings 
Kochi Tuskers Kerala , Deccan Chargers,"Nehru Stadium, Kochi",Deccan Chargers 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Kolkata Knight Riders 
Rajasthan Royals , Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Royal Challengers Bangalore , Pune Warriors,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kochi Tuskers Kerala , Delhi Daredevils,"Nehru Stadium, Kochi",Delhi Daredevils 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Rajasthan Royals , Pune Warriors,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Chennai Super Kings , Deccan Chargers,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Mumbai Indians , Kings XI Punjab,"Wankhede Stadium, Mumbai",Mumbai Indians 
Delhi Daredevils , Kochi Tuskers Kerala,"Feroz Shah Kotla, Delhi",Kochi Tuskers Kerala 
Deccan Chargers , Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders 
Chennai Super Kings , Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Pune Warriors , Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians 
Kochi Tuskers Kerala , Kolkata Knight Riders,"Nehru Stadium, Kochi",Kochi Tuskers Kerala 
Deccan Chargers , Delhi Daredevils,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Daredevils 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kolkata Knight Riders , Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Mumbai Indians , Delhi Daredevils,"Wankhede Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Kochi Tuskers Kerala,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kings XI Punjab , Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Pune Warriors 
Rajasthan Royals , Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings 
Deccan Chargers , Pune Warriors,"Rajiv Gandhi International Stadium, Hyderabad",Pune Warriors 
Kings XI Punjab , Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Rajasthan Royals , Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore 
Chennai Super Kings , Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kochi Tuskers Kerala , Kings XI Punjab,"Holkar Cricket Stadium, Indore",Kings XI Punjab 
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Mumbai Indians , Deccan Chargers,"Wankhede Stadium, Mumbai",Deccan Chargers 
Kings XI Punjab , Delhi Daredevils,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab 
Kochi Tuskers Kerala , Rajasthan Royals,"Holkar Cricket Stadium, Indore",Kochi Tuskers Kerala 
Pune Warriors , Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers 
Kings XI Punjab , Royal Challengers Bangalore,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab 
Chennai Super Kings , Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Pune Warriors , Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders 
Mumbai Indians , Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals 
Kings XI Punjab , Deccan Chargers,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Deccan Chargers 
Delhi Daredevils , Pune Warriors,"Feroz Shah Kotla, Delhi",Match abandoned
Royal Challengers Bangalore , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians 
Royal Challengers Bangalore , Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings 
Mumbai Indians , Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians 
Mumbai Indians , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore 
Chennai Super Kings , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Chennai Super Kings , Mumbai Indians,"MA Chidambaram Stadium, Chennai",Mumbai Indians 
